Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
SIAF,SINO AGRO FOODS INC,OTCQX U.S. Premier,1.370000,73.472200,78769,Common Stock,China,
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,19.500000,31.411500,510,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,35.000000,0.000000,0,Preferred Stock,USA,Michigan
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,36.000000,144.704300,0,Common Stock,USA,Maryland
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,19.650000,147.953800,2538,Common Stock,USA,Michigan
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,383.000000,144.590200,0,Common Stock,USA,Pennsylvania
MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,29.000000,2.324100,0,Common Stock,USA,Illinois
KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,47.500000,134.877100,1462,Common Stock,USA,Missouri
GNCMB,GENERAL COMMUN INC B,OTCQX U.S. Premier,41.120000,48.922800,200,Common Stock,USA,Alaska
FRAF,FRANKLIN FINCL SVCS CORP,OTCQX U.S. Premier,37.300000,57.293600,755,Common Stock,USA,Pennsylvania
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,19.150000,38.608600,0,Common Stock,USA,Michigan
DTRX,DETREX CORP,OTCQX U.S. Premier,26.770000,52.451400,300,Common Stock,USA,Ohio
CLDB,CORTLAND BANCORP CRTLD OH,OTCQX U.S. Premier,20.990000,115.930300,147,Common Stock,USA,Ohio
CNIG,CORNING NATURAL GAS HLDG,OTCQX U.S. Premier,20.000000,48.281200,424,Common Stock,USA,New York
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,55.250000,59.063800,0,Common Stock,USA,Indiana
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,14.350000,186.258600,3000,Common Stock,USA,Rhode Island
KTYB,KENTUCKY BANCSHARES INC,OTCQX U.S. Premier,45.250000,83.789500,350,Common Stock,USA,Kentucky
BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,27.000000,20.091600,0,Common Stock,USA,Wisconsin
CFNB,CALIF FIRST NATL BANCORP,OTCQX U.S. Premier,15.500000,409.044500,740,Common Stock,USA,California
BNCC,BNCCORP INC,OTCQX U.S. Premier,28.950000,83.972600,334,Common Stock,USA,North Dakota
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,21.550000,61.714200,1650,Common Stock,USA,Pennsylvania
FCNH,FIRST COLEBROOK BNCRP INC,OTCQX U.S. Premier,43.800000,119.560400,1080,Common Stock,USA,New Hampshire
ALRS,ALERUS FINCL CORP,OTCQX U.S. Premier,20.550000,24.335600,3000,Common Stock,USA,Minnesota
FWVB,FIRST WEST VA BANCORP INC,OTCQX U.S. Premier,27.800000,266.907400,5920,Common Stock,USA,West Virginia
SMID,SMITH-MIDLAND CORP,OTCQX U.S. Premier,6.750000,80.401900,3638,Common Stock,USA,Virginia
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,17.800000,84.397000,405,Common Stock,USA,Vermont
FMBM,F & M BANK CORP,OTCQX U.S. Premier,34.500000,65.131200,550,Common Stock,USA,Virginia
CHBH,CROGHAN BANCSHARES INC,OTCQX U.S. Premier,49.510000,31.664700,550,Common Stock,USA,Ohio
SBTB,SBT BANCORP INC (CT),OTCQX U.S. Premier,30.500000,30.493600,1767,Common Stock,USA,Connecticut
PPBN,PINNACLE BANKSHARES CORP,OTCQX U.S. Premier,30.000000,183.650600,110,Common Stock,USA,Virginia
WAYN,WAYNE SAVINGS BNCSHS INC,OTCQX U.S. Premier,18.100000,805.713900,1444,Common Stock,USA,Ohio
VSBN,VSB BANCORP INC (NY),OTCQX U.S. Premier,18.950000,6.407900,0,Common Stock,USA,New York
NASB,NASB FINCL INC,OTCQX U.S. Premier,37.000000,83.239900,0,Common Stock,USA,Missouri
FNCB,FNCB BANCORP INC.,OTCQX U.S. Premier,7.500000,220.156900,9299,Common Stock,USA,Pennsylvania
VABK,VIRGINIA NATIONAL BNKSHS,OTCQX U.S. Premier,38.750000,105.743600,181,Common Stock,USA,Virginia
UBNC,UNION BANK,OTCQX U.S. Premier,17.000000,34.821000,759,Common Stock,USA,North Carolina
ALBY,COMMUTY CAP BNCSHS INC,OTCQX U.S. Premier,2.550000,86.658100,300,Common Stock,USA,Georgia
FMCB,FRMRS&MER BNCORP LODI CA,OTCQX U.S. Premier,674.000000,62.903200,0,Common Stock,USA,California
CBCO,COASTAL BANKING CO INC,OTCQX U.S. Premier,20.950000,57.587100,1500,Common Stock,USA,Florida
ISBA,ISABELLA BANK CORP,OTCQX U.S. Premier,28.281000,140.142200,700,Common Stock,USA,Michigan
CSVI,COMPUTER SVCS INC,OTCQX U.S. Premier,48.600000,51.833100,5085,Common Stock,USA,Kentucky
CYSM,COMMUTY BANCORP SAN MAR,OTCQX U.S. Premier,13.600000,3.492600,0,Common Stock,USA,California
WDFN,WOODLANDS FINL SVCS CO,OTCQX U.S. Premier,29.750000,20.108800,300,Common Stock,USA,Pennsylvania
KTHN,KATAHDIN BANKSHARES CORP,OTCQX U.S. Premier,14.500000,33.064300,800,Common Stock,USA,Maine
BVBC,BLUE VALLEY BAN CORP,OTCQX U.S. Premier,11.750000,101.205800,0,Common Stock,USA,Kansas
HARL,HARLEYSVILLE FINCL CORP,OTCQX U.S. Premier,22.500000,53.943300,350,Common Stock,USA,Pennsylvania
MVLY,MISSION VALLEY BANCORP,OTCQX U.S. Premier,14.460000,37.598800,636,Common Stock,USA,California
EFSI,EAGLE FINCL SVCS INC,OTCQX U.S. Premier,31.150000,40.109400,1,Common Stock,USA,Virginia
